r_id,path_name,substation_path,voltage_kV,z1,z2,z3,z4,z5,z6,z7,distance_km,Dm,x,B,Line_Max_Flow_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr
1,jakarta_to_banten_1,,150,1,-1,0,0,0,0,0,85.746,6.299605249,0.351494418,2.844995393,373.268328,0.00085746,373.268328,35178
2,jakarta_to_banten_2,,150,1,-1,0,0,0,0,0,85.746,6.299605249,0.351494418,2.844995393,373.268328,0.00085746,373.268328,35178
3,jakarta_to_banten_3,,150,1,-1,0,0,0,0,0,85.746,6.299605249,0.351494418,2.844995393,373.268328,0.00085746,373.268328,35178
4,jakarta_to_banten_4,,150,1,-1,0,0,0,0,0,85.746,6.299605249,0.351494418,2.844995393,373.268328,0.00085746,373.268328,35178
5,jakarta_to_banten_5,,150,1,-1,0,0,0,0,0,85.746,6.299605249,0.351494418,2.844995393,373.268328,0.00085746,373.268328,35178
6,jakarta_to_banten_6,,150,1,-1,0,0,0,0,0,85.746,6.299605249,0.351494418,2.844995393,373.268328,0.00085746,373.268328,35178
7,jakarta_to_banten_7,,150,1,-1,0,0,0,0,0,85.746,6.299605249,0.351494418,2.844995393,373.268328,0.00085746,373.268328,35178
8,jakarta_to_banten_8,,150,1,-1,0,0,0,0,0,85.746,6.299605249,0.351494418,2.844995393,373.268328,0.00085746,373.268328,35178
9,jakarta_to_banten_9,,150,1,-1,0,0,0,0,0,85.746,6.299605249,0.351494418,2.844995393,373.268328,0.00085746,373.268328,35178
10,jakarta_to_banten_new,,,1,-1,0,0,0,0,0,85.746,6.299605249,0.351494418,2.844995393,500,0.00085746,500,35178
11,jakarta_to_west_jawa_1,,150,1,0,-1,0,0,0,0,115.336,6.299605249,0.351494418,2.844995393,277.504561,0.00115336,277.504561,35178
12,jakarta_to_west_jawa_2,,150,1,0,-1,0,0,0,0,115.336,6.299605249,0.351494418,2.844995393,277.504561,0.00115336,277.504561,35178
13,jakarta_to_west_jawa_3,,150,1,0,-1,0,0,0,0,115.336,6.299605249,0.351494418,2.844995393,277.504561,0.00115336,277.504561,35178
14,jakarta_to_west_jawa_4,,500,1,0,-1,0,0,0,0,115.336,6.299605249,0.351494418,2.844995393,3083.384012,0.00115336,3083.384012,35178
15,jakarta_to_west_jawa_5,,500,1,0,-1,0,0,0,0,115.336,6.299605249,0.351494418,2.844995393,3083.384012,0.00115336,3083.384012,35178
16,jakarta_to_west_jawa_6,,70,1,0,-1,0,0,0,0,115.336,6.299605249,0.351494418,2.844995393,60.43432663,0.00115336,60.43432663,35178
17,banten_to_west_jawa_1,,500,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,2050.954055,0.00173395,2050.954055,35178
18,banten_to_west_jawa_2,,500,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,2050.954055,0.00173395,2050.954055,35178
19,banten_to_west_jawa_3,,500,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,2050.954055,0.00173395,2050.954055,35178
20,banten_to_west_jawa_4,,500,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,2050.954055,0.00173395,2050.954055,35178
21,banten_to_west_jawa_5,,500,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,2050.954055,0.00173395,2050.954055,35178
22,banten_to_west_jawa_6,,500,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,2050.954055,0.00173395,2050.954055,35178
23,banten_to_west_jawa_7,,500,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,2050.954055,0.00173395,2050.954055,35178
24,banten_to_west_jawa_8,,70,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,40.19869948,0.00173395,40.19869948,35178
25,banten_to_west_jawa_9,,70,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,40.19869948,0.00173395,40.19869948,35178
26,banten_to_west_jawa_10,,70,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,40.19869948,0.00173395,40.19869948,35178
27,banten_to_west_jawa_new,,,0,1,-1,0,0,0,0,173.395,6.299605249,0.351494418,2.844995393,500,0.00173395,500,35178
28,west_jawa_to_central_jawa_1,,500,0,0,1,-1,0,0,0,289.861,6.299605249,0.351494418,2.844995393,1226.881776,0.00289861,1226.881776,35178
29,west_jawa_to_central_jawa_2,,500,0,0,1,-1,0,0,0,289.861,6.299605249,0.351494418,2.844995393,1226.881776,0.00289861,1226.881776,35178
30,west_jawa_to_central_jawa_3,,500,0,0,1,-1,0,0,0,289.861,6.299605249,0.351494418,2.844995393,1226.881776,0.00289861,1226.881776,35178
31,west_jawa_to_central_jawa_4,,500,0,0,1,-1,0,0,0,289.861,6.299605249,0.351494418,2.844995393,1226.881776,0.00289861,1226.881776,35178
32,west_jawa_to_central_jawa_5,,500,0,0,1,-1,0,0,0,289.861,6.299605249,0.351494418,2.844995393,1226.881776,0.00289861,1226.881776,35178
33,west_jawa_to_central_jawa_6,,500,0,0,1,-1,0,0,0,289.861,6.299605249,0.351494418,2.844995393,1226.881776,0.00289861,1226.881776,35178
34,west_jawa_to_central_jawa_7,,150,0,0,1,-1,0,0,0,289.861,6.299605249,0.351494418,2.844995393,110.4193598,0.00289861,110.4193598,35178
35,west_jawa_to_central_jawa_8,,150,0,0,1,-1,0,0,0,289.861,6.299605249,0.351494418,2.844995393,110.4193598,0.00289861,110.4193598,35178
36,west_jawa_to_central_jawa_new,,,0,0,1,-1,0,0,0,289.861,6.299605249,0.351494418,2.844995393,500,0.00289861,500,35178
37,central_jawa_to_yogyakarta_1,,150,0,0,0,1,-1,0,0,75.634,6.299605249,0.351494418,2.844995393,423.1729917,0.00075634,423.1729917,35178
38,central_jawa_to_yogyakarta_2,,150,0,0,0,1,-1,0,0,75.634,6.299605249,0.351494418,2.844995393,423.1729917,0.00075634,423.1729917,35178
39,central_jawa_to_yogyakarta_3,,150,0,0,0,1,-1,0,0,75.634,6.299605249,0.351494418,2.844995393,423.1729917,0.00075634,423.1729917,35178
40,central_jawa_to_yogyakarta_4,,150,0,0,0,1,-1,0,0,75.634,6.299605249,0.351494418,2.844995393,423.1729917,0.00075634,423.1729917,35178
41,central_jawa_to_yogyakarta_new,,,0,0,0,1,-1,0,0,75.634,6.299605249,0.351494418,2.844995393,500,0.00075634,500,35178
42,central_jawa_to_east_jawa_1,,500,0,0,0,1,0,-1,0,274.314,6.299605249,0.351494418,2.844995393,1296.416436,0.00274314,1296.416436,35178
43,central_jawa_to_east_jawa_2,,500,0,0,0,1,0,-1,0,274.314,6.299605249,0.351494418,2.844995393,1296.416436,0.00274314,1296.416436,35178
44,central_jawa_to_east_jawa_3,,500,0,0,0,1,0,-1,0,274.314,6.299605249,0.351494418,2.844995393,1296.416436,0.00274314,1296.416436,35178
45,central_jawa_to_east_jawa_4,,500,0,0,0,1,0,-1,0,274.314,6.299605249,0.351494418,2.844995393,1296.416436,0.00274314,1296.416436,35178
46,central_jawa_to_east_jawa_5,,500,0,0,0,1,0,-1,0,274.314,6.299605249,0.351494418,2.844995393,1296.416436,0.00274314,1296.416436,35178
47,central_jawa_to_east_jawa_6,,500,0,0,0,1,0,-1,0,274.314,6.299605249,0.351494418,2.844995393,1296.416436,0.00274314,1296.416436,35178
48,central_jawa_to_east_jawa_7,,150,0,0,0,1,0,-1,0,274.314,6.299605249,0.351494418,2.844995393,116.6774793,0.00274314,116.6774793,35178
49,central_jawa_to_east_jawa_8,,150,0,0,0,1,0,-1,0,274.314,6.299605249,0.351494418,2.844995393,116.6774793,0.00274314,116.6774793,35178
50,central_jawa_to_east_jawa_new,,,0,0,0,1,0,-1,0,274.314,6.299605249,0.351494418,2.844995393,500,0.00274314,500,35178
51,east_jawa_to_bali_1,,500,0,0,0,0,0,1,-1,281.163,6.299605249,0.351494418,2.844995393,1264.836335,0.00281163,1264.836335,35178
52,east_jawa_to_bali_2,,500,0,0,0,0,0,1,-1,281.163,6.299605249,0.351494418,2.844995393,1264.836335,0.00281163,1264.836335,35178
53,east_jawa_to_bali_3,,150,0,0,0,0,0,1,-1,281.163,6.299605249,0.351494418,2.844995393,113.8352701,0.00281163,113.8352701,35178
54,east_jawa_to_bali_4,,150,0,0,0,0,0,1,-1,281.163,6.299605249,0.351494418,2.844995393,113.8352701,0.00281163,113.8352701,35178
55,east_jawa_to_bali_5,,150,0,0,0,0,0,1,-1,281.163,6.299605249,0.351494418,2.844995393,113.8352701,0.00281163,113.8352701,35178
56,east_jawa_to_bali_6,,150,0,0,0,0,0,1,-1,281.163,6.299605249,0.351494418,2.844995393,113.8352701,0.00281163,113.8352701,35178
57,east_jawa_to_bali_new,,,0,0,0,0,0,1,-1,281.163,6.299605249,0.351494418,2.844995393,500,0.00281163,500,35178