r_id,path_name,substation_path,z1,z2,z3,z4,z5,z6,voltage_kV,distance_km,Dm,x,B,Line_Max_Flow_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr
1,north_sulawesi_to_gorontalo_1,buroko_to_isimo,1,-1,0,0,0,0,150,212.339,6.299605249,0.351494418,2.844995393,150.7319242,0.0212339,150.7319242,35178
2,north_sulawesi_to_gorontalo_2,molibagu_to_botupingge,1,-1,0,0,0,0,150,212.339,6.299605249,0.351494418,2.844995393,150.7319242,0.0212339,150.7319242,35178
3,north_sulawesi_to_gorontalo_new,,1,-1,0,0,0,0,,500,6.299605249,0.351494418,2.844995393,500,0.0212339,150.7319242,35178
4,gorontalo_to_central_sulawesi_1,marisa_to_moutung,0,1,-1,0,0,0,150,315.27,6.299605249,0.351494418,2.844995393,101.5201765,0.031527,101.5201765,35178
5,gorontalo_to_central_sulawesi_2,tolinggula_to_leok,0,1,-1,0,0,0,150,315.27,6.299605249,0.351494418,2.844995393,101.5201765,0.031527,101.5201765,35178
6,gorontalo_to_central_sulawesi_new,,0,1,-1,0,0,0,,500,6.299605249,0.351494418,2.844995393,500,0.031527,101.5201765,35178
7,central_sulawesi_to_south_sulawesi_1,tentena_to_wotu,0,0,1,-1,0,0,275,244.753,6.299605249,0.351494418,2.844995393,439.5313498,0.0244753,439.5313498,35178
8,central_sulawesi_to_south_sulawesi_2,bungku_to_wotu,0,0,1,-1,0,0,275,244.753,6.299605249,0.351494418,2.844995393,439.5313498,0.0244753,439.5313498,35178
9,central_sulawesi_to_south_sulawesi_new,,0,0,1,-1,0,0,,500,6.299605249,0.351494418,2.844995393,500,0.0244753,439.5313498,35178
10,central_sulawesi_to_southeast_sulawesi_1,bungku_to_andowla,0,0,1,0,-1,0,275,346.245,6.299605249,0.351494418,2.844995393,310.6950756,0.0346245,310.6950756,35178
11,central_sulawesi_to_southeast_sulawesi_new,,0,0,1,0,-1,0,,500,6.299605249,0.351494418,2.844995393,500,0.0346245,310.6950756,35178
12,central_sulawesi_to_west_sulawesi_1,palu_baru_to_pasangkayu,0,0,1,0,0,-1,150,169.146,6.299605249,0.351494418,2.844995393,189.2227191,0.0169146,189.2227191,35178
13,central_sulawesi_to_west_sulawesi_new,,0,0,1,0,0,-1,,500,6.299605249,0.351494418,2.844995393,500,0.0169146,189.2227191,35178
14,south_sulawesi_to_southeast_sulawesi_1,malili_to_lasusua,0,0,0,1,-1,0,150,218.674,6.299605249,0.351494418,2.844995393,146.3652105,0.0218674,146.3652105,35178
15,south_sulawesi_to_southeast_sulawesi_new,,0,0,0,1,-1,0,,500,6.299605249,0.351494418,2.844995393,500,0.0218674,146.3652105,35178
16,south_sulawesi_to_west_sulawesi_1,bakaru_to_polman,0,0,0,1,0,-1,150,159.046,6.299605249,0.351494418,2.844995393,201.2390507,0.0159046,201.2390507,35178
17,south_sulawesi_to_west_sulawesi_2,pinrang_to_polman,0,0,0,1,0,-1,150,159.046,6.299605249,0.351494418,2.844995393,201.2390507,0.0159046,201.2390507,35178
18,south_sulawesi_to_west_sulawesi_new,,0,0,0,1,0,-1,,500,6.299605249,0.351494418,2.844995393,500,0.0159046,201.2390507,35178